source_id,source_type,title,persona,ecosystem,business_stage,raw_text
SRC-005,survey,Marketing tips #2,Ecommerce / Product Seller #1,"business, general consumer goods",Established business,The products that convert unexpectedly well are everyday practical items. The marketing advice that works poorly for ecommerce sellers in Nigeria is to post consistently and build a website first. The delivery-related issues that affect Sales the most are logistics unreliability and location restrictions. One marketing advice I would give to someone starting out in the Nigeria market is that most people prefer quantity over quality
SRC-006,survey,"What type of content relates the most with GenZs in Nigeria #1
",Social Media Manager / Content Strategist / Community Manager #3,"tech, agency",small team,"The  type of content that has the most engagement are Personal storytelling, Educational/tutorial content, Humor/skits, Motivational content, Community conversations, they work because people like content that is relatable, that inspires or educates them. They like a tone that is human and relatable because It’s easy to engage with a human or a relatable piece. One way to get the audience to feel emotionally attached to a creator, brand or community is making them feel understood,  giving them a sense of a shared identity, goals, value  and  belonging, and can relate to the Personality of founder/creator. 

These content strategy advice sounds good but rarely works in practice: Post every day, Follow trends constantly, Educational content always wins, High production quality matters most, Go viral first, Use hooks aggressively, they all failed because they’re all focused on the wrong things. One content pattern most people have not noticed yet is using founder-led/brand storytelling to market a product. One mistake I notice in the Nigerian market is people betting that their followers will come back to bite them in the butt. It never helps anyone grow the right way. "
SRC-007,survey,How to market as an established business in Nigeria #1,Social Media Manager / Content Strategist / Community Manager #4,"tech, education, edtech, recruitment",established business,"I use LinkedIn, Twitter/X, Email marketing for marketing, my primary audience are professionals. The most engaged content are Educational/tutorial content, Humor/skits , this is because People liked the meme culture which was a trend in the Web3 space as at then and also deep in the Nigeria online culture. The best performing tone is Relatable/human , this is because the audience liked to see themselves in every post out there. The audience feels more emotionally connected to a creator, brand or community when they feel understood, have a shared identity/belonging, when they see  consistency, and educational support. The content strategy that sounds good but rarely works in practice is to post every day, go viral first and use hooks aggressively; this is because they focus on the system instead of the audience. One pattern that most people haven't noticed but works is shit posting. Any marketer coming to the Nigerian market should understand that too much incentive can break the system, engagement farming can break your marketing system, therefore, avoid rewarding users too much."
SRC-008,survey,How you experience your users #1,Tech Founder / Product Builder #1,"tech, professional audience",small team,"As a business run by a small team, our major acquisition channels are organic content and outbound sales. My primary audience are professionals. The growth strategy that failed badly is ‘waitlist building” because having people on your waitlist is not the same as sign ups. The hardest thing to understand about my users is why they don’t activate, this is because they sign up but don’t perform the actual product behavior expected of them. The best behaviour they show is signing up. Cold outreach has worked unexpectedly well for me, this is because I onboarded users one on one and I was able to connect with them through that. "
SRC-008,survey,Marketing tips #3,Tech Founder / Product Builder #1,"tech, professional audience",small team,"Marketing is a game of experimentation and time to value has a huge impact in marketing than ascribed. As a new founder, launch your product early, get product market fit as soon as possible and avoid hypothesis marketing 
"
SRC-009,survey,what works for professional audience #2,Social Media Manager / Content Strategist / Community Manager #5,"edtech, professional audience",established business,"An established business with a professional audience can use Linkedin for marketing. They engage more with educational and tutorial content, this is because they are boomers who are majorly interested in serious conversations and can emotionally relate with a tone that is relatable and human. They connect more with a creator, brand or community when they feel understood, and have a shared identity or belonging. One content strategy advice that sounds good but rarely works in practice is to post every day, Follow trends constantly, and that educational content always wins. "
SRC-010,survey,What platform you use for marketing #1,Freelance/Agency Marketer #1,unknown,solo operator,"As a Freelance Marketer and a solo operator, I use WhatsApp as my major platform for marketing, my primary audience are GenZs"
SRC-010,survey,How you experience clients #1,Freelance/Agency Marketer #1,unknown,solo operator,"My clients trust me when they can find testimonials and case studies of previous works. I am able to produce the best results when clients trust my expertise. Clients expect sales immediately when they hire a marketer and this is very unrealistic because they often underestimate that time is required, testing and iterations must be done with enough consistency for there to be results."
SRC-010,survey,What works/does not work in marketing #1,Freelance/Agency Marketer #1,unknown,solo operator,"Influencer campaigns usually perform better than clients expect because people are usually persuaded  by celebrity’s reviews. Facebook gives the most misleading performance signal. Most campaigns fail because of wrong audience targeting, poor creative quality and inconsistent execution."
SRC-010,survey,Marketing tips #4,Freelance/Agency Marketer #1,unknown,solo operator,"Following up is an important part of marketing and growth that marketers should focus on.
If you are new to marketing, avoid focusing on the wrong audience"
SRC-011,survey,What platform you use for marketing #2,SME / Business Operators #2,"artisan, business",solo operator,"As a SME / Business Operators and solo operator whose primary audience are general consumers, I use Instagram the most for marketing"
SRC-011,survey,How you experience your customers #3,SME / Business Operators #2,"artisan, business",solo operator,Customers buy from me when they get referred by someone they trust. Customers also check mutual connections before they trust me and they often ask “is she capable”. Customers often come up with the excuse that I am too expensive when they don't want to patronize me and I have learned that such people are not my target audience.Customers can be unpredictable and sensitive when it comes to price
SRC-011,survey,What works/does not work in marketing #2,SME / Business Operators #2,"artisan, business",solo operator,Word-of-mouth/referrals have performed unexpectedly well in my marketing efforts so far because new customers purchase when they are being referred by a satisfied customer
SRC-011,survey,Marketing tips #5,SME / Business Operators #2,"artisan, business",solo operator,"As a new marketer in the Nigeria market, it's important that you know your target audience"
SRC-012,survey,What Marketing channels used #1,Tech Founder / Product Builder #2,"graphics design, agency, tech",solo operator,"As a solo operator whose primary audience are general consumers, my major acquisition channel is product-led referrals. My users best show me their referral activity, this is a strategy that has worked unexpectedly well for me because a well done design and a satisfied customer brings another client"
SRC-012,survey,What works/does not work in marketing #3,Tech Founder / Product Builder #2,"graphics design, agency, tech",solo operator,"Paid-ads as a growth strategy has failed me because the ads might not reach my audience. The hardest thing to understand about my audience is why they behave so inconsistently, this is because as a graphics designer, clients are very insistent with pickling their preferred designs"
SRC-012,survey,Marketing tips #6,Tech Founder / Product Builder #2,"graphics design, agency, tech",solo operator,If you are new to the Nigerian market do not underprice yourself
SRC-013,survey,What works/doesn’t work for a niche industry audience #2,Social Media Manager / Content Strategist / Community Manager #6,"tech, niche based",small team,"I have seen humor, skits, controversial topics, hot takes, trend based content and community conversations gain the most engagement over time, this is because there is a direct relativity between the creator and the audience. For instance; they know the topic is trending, they crete memes around it, which ends up being funny and they are able to get their community involved in the conversation surrounding the topic through this.
Posting everyday without content relevance or a funnel structure doesn't work. People see your posts but don’t care enough to interact or engage with it.
"
SRC-013,survey,How to communicate with a niche industry audience #1,Social Media Manager / Content Strategist / Community Manager #6,"tech, niche based",small team,"The best tone to use is one that is relatable and human, because if your audience don't understand your post, they will scroll past it. Your audience is able to connect emotionally to you either as a creator, brand or community when they feel understood, have a shared identity, a sense of belonging and are entertained."
SRC-013,survey,What is emerging in marketing #1,Social Media Manager / Content Strategist / Community Manager #6,"tech, niche based",small team,One pattern that is emerging but not yet noticed is the strategic coordination of multiple creator groups
SRC-013,survey,Marketing tips #6,Social Media Manager / Content Strategist / Community Manager #6,"tech, niche based",small team,"Don’t think you know the market, or try to win it with incentives. As a founder, find those who are niched in marketing your product. And as a marketer, work with teams tailored to the regional demography of your target."
SRC-013,survey,What platform you use for marketing #3,Social Media Manager / Content Strategist / Community Manager #6,"tech, niche based",small team,"As a Social Media Manager / Content Strategist / Community Manager working with a small team, with a niche industry audience, I use twitter/X for marketing."
